grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
な-Adjective;Adjectives that are also nouns;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%AA-adjectives;［な］Adjective + だ | ［な］Adjective + な + Noun | ［な］Adjective + です | ［な］Adjective + な + Noun;Noun;Adjectival Noun;Standard;In Japanese, the vast majority of な-Adjectives are originally nouns, and differ from nouns only in that they have their own set of conjugation rules. The dictionary form of a な-Adjective will always be followed by だ. な is only attached when describing another noun.;Some な-Adjectives can end in い;大好（だいす）きな野菜（やさい）です。;A vegetable that I love.;;;な-Adjective だ | い-Adjectives
か;Question marking particle;N5;1;Things that Are Crucial to Make a Natural -Interesting- Sentence;https://bunpro.jp/grammar_points/%E3%81%8B;Phrase + か;Particle;Sentence Ending Particle;Standard;か is a particle that frequently comes at the end of sentences in Japanese, and carries the same meaning as a question mark in English. (It is not limited to appearing at the end of sentences, however). In addition to questions, か can also express uncertainty about something, without strictly being a question.;か is also often used to mark uncertainty/doubt;あなたのアパートは大（おお）きいですか。;Is your apartment big? (Plain question);かい;よ;っけ
が;Subject marking particle, Identification particle;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%8C;Subject + が;Particle;Case Marking Particle;Standard;が is considered to be the subject marker in Japanese. This means that it marks someone or something that is performing an action, or it identifies someone or something as having a specific feature (this is usually a feature that the listener is not aware of).;が emphasizes what comes before it, while は emphasizes what comes after it | が is not usually used to describe something about yourself, unless you are intentionally describing yourself compared to other people. If you want to talk about yourself 'in general terms', は will sound more natural (there are exceptions).;コーヒーが好（す）きです。;I like coffee. (Coffee is the thing that I like);;;は | を
よ;Emphasis (Sentence ending particle);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%82%88;Sentence + よ;Particle;Sentence Ending Particle;Standard;よ is classified as a sentence ending particle in Japanese. In most cases, it is used to convey new information to the listener, or just to add a bit of emphasis. Like most sentence ending particles, it is simply added to the end of almost any sentence.;Used when conveying new information to the listener. | Did you notice that there is a だ after the noun, but not the い-Adjective? This is not a unique rule for よ, but just one of the regular conjugation rules introduced in the lessons for い-Adjectives and な-Adjectives. It is also acceptable to use ですよ after either type of adjective (or noun).;明日（あした）は雨（あめ）だよ。;It's going to rain tomorrow!;;か;ぜ | だ | ぞ | ね
ね;Isn't it?, Right? (Sentence ending particle);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%AD;Sentence + ね;Particle;Sentence Ending Particle;Standard;ね is classified as a sentence ending particle in Japanese. It may also be pronounced as ねえ. ね is used when the speaker is looking for agreement from someone, or wants confirmation about something. Due to this, it is often translated as 'right?', or 'isn't it?'. To use ね, simply add it to the end of almost any sentence.;ね is much weaker than でしょう or だろう, and is sometimes said purely out of habit, without much nuance of 'right' at all.;今日（きょう）も暑（あつ）いね。;It's hot today too, isn't it?;;;だろう | でしょう | よ | じゃないか
る-Verb (Dictionary);る + ます (Ichidan Verbs);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%82%8B-Verbs;Examples: | 食（た）べる | 見（み）る | 寝（ね）る | Examples: | 食（た）べる + ます | 見（み）る + ます | 寝（ね）る + ます;Verb;Independent Word;Standard;る-Verbs are verbs that have only one possible conjugation pattern. This pattern simply involves the replacement of る with another construction, depending on the tense of the verb (past, negative, etc). This conjugation pattern that only includes る is where the Japanese name Ichidan (一段（いちだん）) 'one-level' comes from.;Short form is also often called 'casual form' (because it is used in casual language), or 'plain form' | While all る-Verbs end in る, not all verbs that end in る are る-Verbs. These verbs can be identified by the る changing, rather than being removed when conjugated. | As the る in 取（と）る becomes り in 取（と）ります, we can determine immediately that it is not a る-Verb, but actually a う-Verb.;私（わたし）が閉（し）めます。;I will close it. ('It' is implied, despite no object being stated);;;Verbs (Non-past) | る-Verb (Past) | う-Verb (Dictionary) | る-Verb (Negative) | Verb + て | う-Verb (Past)
う-Verb (Dictionary);う + ます (Godan Verbs);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%81%86-Verbs;Examples: | 座（すわ）る | 歌（うた）う | 歩（ある）く | 話（はな）す | 打（う）つ | 死（し）ぬ | 飛（と）ぶ | 休（やす）む | 泳（およ）ぐ | Examples: | 座（すわ）る + ります | 歌（うた）う + います | 歩（ある）く + きます | 話（はな）す + します | 打（う）つ + ちます | 死（し）ぬ + にます | 飛（と）ぶ + びます | 休（やす）む + みます | 泳（およ）ぐ + ぎます;Verb;Independent Word;Standard;う-Verbs include all of the verbs in Japanese that end in う sounds (including some of the verbs that end in る). These verbs are called Godan (五段（ごだん）) 'five-level' verbs in Japanese, due to their conjugations using all 5 of the different sounds in the same column (段（だん）) that their base form comes from.;Short form is also often called 'casual form' (because it is used in casual language), or 'plain form' | Just like with る-Verbs, the base form of the verb may be called 'plain form', 'casual form', or 'short form', depending on the source/book.;私（わたし）はパンクも聞（き）く。;I also listen to punk music.;;;う-Verb (Past) | Verb + て | る-Verb (Dictionary) | Verbs (Non-past) | る-Verb (Negative)
を;Object marking particle;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%82%92;Object + を;Particle;Case Marking Particle;Standard;In Japanese, を is a particle that marks the object of an action. This means that the subject (the person or thing performing an action) is performing that action with the object being the goal/target of the action. In most cases, whatever を is attached to will not actually be 'doing' anything, but will instead have something being done to it.;;建物（たてもの）の中（なか）を走（はし）る。;To run through a building. (The inside of the building is the object that 'running' is being performed through) (Object marker);に;;が
ます;Polite Verb Endings;N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/polite-verb-endings;Verb［stem］ + ます;Auxiliary Verb;Dependent Word;Polite;In traditional Japanese teaching, ます is introduced as something placed on the verbs to create the 'polite form'. While this is true, taking a bit of a closer look at what ます is by itself will help us understand the concept more clearly.;In general, です and ます will only appear at the end of sentences. However, this is not a strict rule, as they are both occasionally used before conjunction particles such as が 'but' in very polite language.;母（はは）は映画（えいが）を見（み）ます。;My mother will watch a movie.;;;
る-Verb (Negative);Will/Does/Do (not);N5;2;Things that Are Necessary to Use Basic Types of Verbs;https://bunpro.jp/grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84;Examples: | ​​食（た）べる + ない | ​​見（み）る + ない | 寝（ね）る + ない | Examples: | 食（た）べる + ません | 食（た）べる + ないです |  | 見（み）る + ません | 見（み）る + ないです |  | 寝（ね）る + ません | 寝（ね）る + ないです;Verb;Auxiliary Verb;Standard;The negative form of る-Verbs are conjugated based on the same set of rules used for other forms of る-Verb conjugation (removal of る, followed by the addition of something else). In the case of negation, the additional component will be ない (casual), or ません (polite).;The ない attached to make the negative form of adjectives is a different word, and therefore follows different conjugation rules. When attached to adjectives ない itself is an い-Adjective, and not an auxiliary verb.;寿司（すし）を食（た）べない。<br><br>寿司（すし）を食（た）べないです。<br>寿司（すし）を食（た）べません。;I don't eat sushi.;じゃない;う-Verb (Past);る-Verb (Negative-Past) | Verb + て | Verbs (Non-past) | る-Verb (Dictionary) | う-Verb (Dictionary)
