grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related
な-Adjective + (Noun);Describing a noun;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%AA-adjective-noun;［な］Adjective + な + Noun |  | Examples: | 静（しず）か + な + 夜（よる） | 元気（げんき） + な + 子供（こども）;Expression;Noun;Standard;In Japanese, almost any type of word can be attached to the beginning of a noun to modify the meaning, or describe the qualities of that noun. However, depending on the type of word used, conjugation rules will differ slightly.;Many words can take either な or の when describing a noun. The difference in meaning is usually clear. Let's take a look at both nuances. | (A) な (B) means that - (A) is a quality/feature of (B) | (A) の (B) means that - (A) is the type/purpose of (B) | To avoid making this mistake when using な-Adjectives to describe a noun, it can be helpful to think about whether you are describing a 'quality', or the 'purpose' of something.;カーテンオタク：これは綺麗（きれい）なカーテンです。;A curtain enthusiast : This is a pretty curtain.;;;い-Adjective + Noun
へ行（い）く;To go to, To head toward;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%B8%E3%81%84%E3%81%8F;Place + へ(1) + 行（い）く |  | (1) に;Expression;Verb;Standard;へ行（い）く is a common construction used when describing a place that someone/something is 'heading'. The particles に and へ are mostly interchangeable, but there is a slight difference in meaning. に has the nuance of 'going to', while へ has the nuance of 'heading to'.;;先生（せんせい）に電話（でんわ）をする。;To make a call to the teacher. (Focuses more on the destination of the call);;くる;へ | ていく | Verb + にいく | いらっしゃる
する;To do, To make into;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B;する | します;Verb;Independent Word;Standard;する verbs are one of only two main verbs in Japanese that do not follow the standard rules of conjugation for Godan and Ichidan verbs. The other primary verb being 来（く）る. する means to do something, or to make something a certain way.;Although not common, 為る kanji use can be seen;電話（でんわ）をします。;To make a call.;;;いたす | なさる
来（く）る;To come;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%8B;くる | きます;Verb;Independent Word;Standard;来（く）る is one of only two main verbs in Japanese that do not follow the standard rules of conjugation for Godan and Ichidan verbs. The other primary verb being する. 来（く）る means 'to come', or 'to be coming'.;来（き）ている (for existing at a place) is only used for places that people 'temporarily' go, so will not be used when you are at your home/work.;カナは駅（えき）に来（き）ている？;Is Kana coming to the station? (Is Kana on her way to the station now?);;へいく;てくる  | いらっしゃる
る-Verb (Past);る - Verbs (Past tense);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%82%8B-verb-past;Examples: | ​​食（た）べる + た | ​​見（み）る + た | ​​寝（ね）る + た | Examples: | 食（た）べる + ました | 見（み）る + ました | 寝（ね）る + ました;Verb;Auxiliary Verb;Standard;To make the past form of a る-Verb in Japanese, just like all other conjugations of る-Verbs, you will need to remove the る first. After this, all you need to do is add the auxiliary verb た (casual), or ました (polite).;;たかしは１９９４（せんきゅうひゃくきゅうじゅうよ）年（ねん）に生（う）まれた。;Takashi was born in 1994. (An example of past);;;Verbs (Non-past) | る-Verb (Dictionary) | Verb［た・ている］+ Noun | う-Verb (Past) | る-Verb (Negative-Past)
う-Verb (Past);う - Verbs (Past tense);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%86-verb-past;Examples: | ［る5］Verb ￫ 座（すわ）る + った | ［う］Verb ￫ 歌（うた）う + った | ［つ］Verb ￫ 打（う）つ + った |  | ［く］Verb ￫ 歩（ある）く + いた | ［ぐ］Verb ￫ 泳（およ）ぐ + いだ |  | ［ぬ］Verb ￫ 死（し）ぬ + んだ | ［ぶ］Verb ￫ 飛（と）ぶ + んだ | ［む］Verb ￫ 休（やす）む + んだ |  | ［す］Verb ￫ 話（はな）す + した |  | Exceptions: | 行（い）く ￫ 行（い）った | する ￫ した | くる ￫ きた | 問（と）う ￫ 問（と）うた | 請（こ）う ￫ 請（こ）うた | Examples: | ［る5］Verb ￫ 座（すわ）る + りました | ［う］Verb ￫ 歌（うた）う + いました | ［つ］Verb ￫ 打（う）つ + ちました |  | ［く］Verb ￫ 歩（ある）く + きました | ［ぐ］Verb ￫ 泳（およ）ぐ + ぎました |  | ［ぬ］Verb ￫ 死（し）ぬ + にました | ［ぶ］Verb ￫ 飛（と）ぶ + びました | ［む］Verb ￫ 休（やす）む + みました |  | ［す］Verb ￫ 話（はな）す + しました |  | Exceptions: | 行（い）く ￫ 行（い）きました | する ￫ しました | くる ￫ きました | 問（と）う ￫ 問（と）いました | 請（こ）う ￫ 請（こ）いました;Verb;Auxiliary Verb;Standard;To make the past form of a う-Verb in Japanese, just like all other conjugations of う-Verbs, you will need to change the last kana, before adding the auxiliary verb た (casual), or ました (polite). This change in kana is a bit different to other conjugations of う-Verbs, so let's take a look at them for the casual form.;With う-Verbs, there are a few verbs that are exceptions to the regular conjugation rules. Please check the structure guide for these.;新（あたら）しいペンを買（か）った。新（あたら）しいペンを買（か）いました。;I bought a new pen. (Example of a verb ending in う);;る-Verb (Negative);う-Verb (Dictionary) | Verb + て | う-Verb (Negative-Past) | だった・でした | ていた  | Verb［た・ている］+ Noun | る-Verb (Past) | る-Verb (Dictionary) | Verbs (Non-past)
好（す）き;Like, Fond of;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8D;Noun + が + 好（す）き + だ | Noun + が + 好（す）き + です;Noun;Adjectival Noun;Standard;好（す）き, meaning 'to like', is one of the very common な-Adjectives in Japanese that is used in many different expressions. All な-Adjectives behave similarly to verbs, in that their form changes depending on what comes after them.;好（す）き is considered quite a strong adjective in Japanese when it is directed towards people, so it may be interpreted as romantic interest. 大（だい）好（す）き is often translated as 'love'.;私（わたし）はコンビニが好（す）きだ。;I like convenience stores. (They are likable, to me);;きらい;
嫌（きら）い;Dislike, Not fond of;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%8D%E3%82%89%E3%81%84;Noun + が + 嫌（きら）い | 嫌（きら）い + な + Noun;Noun;Adjectival Noun;Standard;For 嫌（きら）い, it will be followed by either な, when acting as an adjective, だ, or the more polite です, when acting as a noun. This distinction is made depending on whether it is linked to another noun, or is independent.;Despite ending in い, きらい is a な-Adjective;パイナップルが嫌（きら）い？;Do you dislike pineapple?;;好き;
のが好（す）き;Like doing, Love doing;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%99%E3%81%8D;Verb［る］+ の + が + 好（す）き + だ | Verb［る］+ の + が + 好（す）き + です;Expression;Adjectival Noun;Standard;～のが好（す）き is a common construction that is used in Japanese to express that you like/love doing something. This particular expression is used with the plain (dictionary) form of verbs only.;If you want to express that you liked doing something (in the past), the verb will still remain in the plain form, but 好（す）き will change to past tense.;私（わたし）は映画（えいが）を見（み）るのが好（す）き。;I like watching movies.;;のがへた;こと | のがじょうず
がある + (Noun);Noun (B) that has Noun (A), Noun (B) with Noun (A);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B-noun;Noun + がある(1) + Noun |  | (1) のある;Expression;Noun;Standard;In this expression, がある has the role of describing the noun that follows it. The description that it is giving is '(A) がある (B)' = '(B) has/with (A)'. This type of phrase is called a relative clause (something that describes a noun), and behaves similarly to an adjective.;In a relative clause, because (A) is describing (B), (B) will be considered the 'main topic/subject'. This means that は will generally not be used in place of が. However, の can be used instead of が, as showing a relationship between (A) and (B) is one of the main functions of の.;コンビニがあるビル。;A building that has a convenience store.;;;の | がある
くない;Not (Adjective);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/negative-%E3%81%84-adjectives;［い］Adjective［く］+ ない |  | Examples: | おもしろく + ない | 新（あたら）しく + ない | ［い］Adjective［く］+ ない + です | ［い］Adjective［く］+ ありません |  | Examples: | おもしろく + ない + です | おもしろく + ありません |  | 新（あたら）しく + ない + です | 新（あたら）しく + ありません;Adjective;Auxiliary Verb;Standard;The negative form of い-Adjectives in Japanese is created by using the conjunctive form of the adjective, followed by ない. Conjunctive form just means 'agglutinative', or 'conjunctive' in Japanese. For い-Adjectives, this conjunctive form is created by removing い, and replacing it with く.;い-Adjectives, whether positive or negative, cannot be used with だ | As with regular い-Adjectives, you cannot use だ after ない. です is acceptable to create a semi-polite form, but is best used in spoken language only.;あなたは悪（わる）くない。;You are not to blame. (Translates directly to, you are not bad.);;;じゃない
で;With, By (using);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%A7-by;Noun + で;Particle;Case Marking Particle;Standard;で is a particle that has several different uses in Japanese. At its core, it is always used to highlight something that is 'required' to perform some sort of action/reach some kind of goal. One of these uses relates to 'things'. This comes across as 'by' or 'with' in English.;;車（くるま）で空港（くうこう）へ行（い）く。;I go to the airport by car. (Required to reach a goal);;;をもって | を以て | Verb[て]・Noun[で] + B
ので;Because, So, Since, The reason being;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A7;Verb + ので + Phrase | ［い］Adjective + ので + Phrase | ［な］Adjective + な + ので + Phrase | Noun + な + ので + Phrase;Particle;Conjunctive Particle;Standard;ので is a Japanese grammar structure called a conjunction particle. This means that it connects two parts of a sentence 'logically'. The connection that ので makes between (A), and (B), is similar to から, meaning that it is often translated as 'because', or 'since'.;ので can sometimes be seen as んで, which is a more casual variation. Also, unlike many grammar points that connect to verbs, ので may be used with the ます form. This is something that is unique to conjunction particles.;私（わたし）は弱（よわ）いので、ジムへ行（い）きます。;I go to the gym because I am weak. (Being that I am weak);ものだから | もの・もん | ものですから・もので | から;;ことだし | なぜなら〜から | し～し 
から;Because, Since;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89-because;Verb + から | ［い］Adjective + から | ［な］Adjective + だから | Noun + だ + から;Particle;Case Marking Particle;Standard;から can have several different meanings in Japanese, depending on which part of the sentence it is in, and what comes before/after it. It is often translated as 'because', or 'since'. In these cases, it just means 'Because of (A), (B)'.;;彼女（かのじょ）は優（やさ）しいから、好（す）きです。;Because she is nice, I like her. (From that she is nice);ものだから | ものですから・もので | ので | もの・もん;;したがって | からこそ | なぜなら〜から | し～し 
から;From;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89;Starting Point + から;Particle;Case Marking Particle;Standard;から can have several different meanings in Japanese, depending on which part of the sentence it is in, and what comes before/after it. It is often translated as 'from'. In these cases, it just means 'with (A) as a starting location, (B)'. In this grammar construction, から comes directly after the place that is considered the starting point.;This form of から does not require だ when used after nouns or な-Adjectives, as that would change the meaning to 'because'.;彼女（かのじょ）はモロッコから来（き）ました。;She came from Morocco.;;;てから
けど;But, However;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9;Verb + けど | ［い］Adjective + けど | ［な］Adjective + だ + けど | Noun + だ + けど;Particle;Conjunctive Particle;Standard;けど is one of the common conjunction particles in Japanese. These are particles that function by connecting the (A) and (B) parts of a sentence. けど works very similarly to が, in that it highlights 'while thinking about (A), (B)'. This means that けど will often come across as 'but' in English.;More casual than が | The phrase after けど will often be omitted if it is obvious, or the speaker does not want to say it.;北海道（ほっかいどう）は寒（さむ）いけど、綺麗（きれい）。;Hokkaido is cold, but pretty.;が;;だが・ですが | ところが | んだけど・んですが | けれども
が;But, However;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%8C-but;Verb + が | ［い］Adjective + が | ［な］Adjective + だ + が | Noun + だ + が | Verb (Polite) + が | ［い］Adjective + です + が | ［な］Adjective + です + が | Noun + です + が;Particle;Conjunctive Particle;Standard;As a particle, が has several different uses in Japanese. However, each of these different uses share a common theme. That theme expresses 'highlighting (A) as important, (B)'. In this use, が comes across as 'but', or 'however' in English.;が can sometimes mean something closer to 'and', or a comma that connects clauses | Sometimes a statement will end with が. In these cases it just means that more information exists, but it is obvious, so it does not need to be said.;毎日（まいにち）走（はし）るが、運動（うんどう）はきらい。;I run everyday, but I don't like exercise.;ものの | けれども | だが・ですが | けど・だけど;;んだけど・んですが | ところが | くせに
る-Verb (Negative-Past);る - Verbs (Negative-past tense);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%82%8B-verb-neg-past;Examples: | ​​食（た）べる + なかった | ​​見（み）る + なかった | ​​寝（ね）る + なかった | Examples: | 食（た）べる + ませんでした | 食（た）べる + なかったです |  | 見（み）る + ませんでした | 見（み）る + なかったです |  | 寝（ね）る + ませんでした | 寝（ね）る + なかったです;Verb;Auxiliary Verb;Standard;In order to form the negative past form of る-Verbs, you will need to remove the る, and then follow it with the auxiliary verb ない (or ます), conjugated into their past forms. This will either be なかった (casual), or ませんでした (polite).;When a past negative sentence has a connection with the present, for example, something was expected to happen but has not happened for the moment, the verb[て] + いません construction is used instead;ゴミを捨（す）てませんでした。;I did not throw the trash away.;;;る-Verb (Negative) | う-Verb (Negative-Past) | る-Verb (Past)
う-Verb (Negative-Past);う - Verbs (Negative-past tense);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%86-verb-neg-past;座（すわ）る + らなかった | 歌（うた）う + わなかった | 歩（ある）く + かなかった | 話（はな）す + さなかった | 打（う）つ + たなかった | 死（し）ぬ + ななかった | 飛（と）ぶ + ばなかった | 休（やす）む + まなかった | 泳（およ）ぐ + がなかった |  | Exceptions: | ある ￫ なかった | Examples: | 座（すわ）る + りませんでした | 座（すわ）る + らなかったです |  | 歌（うた）う + いませんでした | 歌（うた）う + わなかったです |  | 歩（ある）く + きませんでした | 歩（ある）く + かなかったです |  | 話（はな）す + しませんでした | 話（はな）す + さなかったです |  | 打（う）つ + ちませんでした | 打（う）つ + たなかったです |  | 死（し）ぬ + にませんでした | 死（し）ぬ + ななかったです |  | 飛（と）ぶ + びませんでした | 飛（と）ぶ + ばなかったです |  | 休（やす）む + みませんでした | 休（やす）む + まなかったです |  | 泳（およ）ぐ + ぎませんでした | 泳（およ）ぐ + がなかったです |  |  | Exceptions: | ある ￫ ありませんでした | なかったです;Verb;Auxiliary Verb;Standard;In order to make the negative past form of う-Verbs, you will need to change the last kana of the verb into the あ sound kana from the same column (or わ if the original kana was う). After this, the あ sound kana will be followed by ない (or ます), conjugated into their past forms. This will either be なかった (casual), or ませんでした (polite).;When a past negative sentence has a connection with the present, for example, something was expected to happen but has not happened for the moment, the verb[て] + いません construction is used instead;あなたの車（くるま）は洗（あら）わなかった。;I did not wash your car.;;;う-Verb (Negative) | う-Verb (Past) | る-Verb (Negative-Past)
～て (Conjunction);And, Then (Linking events);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/verb-%E3%81%A6;Examples: | ［る1］Verb ￫ 見（み）る + て |  | ［る5］Verb ￫ 座（すわ）る + って | ［う］Verb ￫ 歌（うた）う + って | ［つ］Verb ￫ 打（う）つ + って |  | ［く］Verb ￫ 歩（ある）く + いて | ［ぐ］Verb ￫ 泳（およ）ぐ + いで |  | ［ぬ］Verb ￫ 死（し）ぬ + んで | ［ぶ］Verb ￫ 飛（と）ぶ + んで | ［む］Verb ￫ 休（やす）む + んで |  | ［す］Verb ￫ 話（はな）す + して |  | Exceptions: | 行（い）く ￫ 行（い）って | する ￫ して | くる ￫ きて | 問（と）う ￫ 問（と）うて | 請（こ）う ￫ 請（こ）うて;Verb;Conjunctive Particle;Standard;In Japanese, て is a very important conjunction particle that can be used with many different structures. When it is partnered with a verb, it has special conjugation rules, depending on whether it is being added to a る-Verb or a う-Verb. In the case of う-Verbs, it also depends on what the preceding kana is.;ている is often shortened to てる. This applies to all tenses, including てる, てて, てた, and even てます | There are several irregular verbs when it comes to て form conjugation. Let's look at an example of each one. | Apart from these 5 verbs, the rules for て form conjugation are 100% consistent.;山（やま）を登（のぼ）って休（やす）む。;To climb a mountain, then rest. (To climb a mountain, and rest);;;う-Verb (Past) | う-Verb (Dictionary) | 連用形 | る-Verb (Negative) | ている① | ている② | ていた  | Verb + て+ B | Verbs (Non-past) | る-Verb (Dictionary) | Verb + てもいい | ている③ | てから
～ている ①;Is, Am, Are (~ing);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1;Verb［て］+ いる | Verb［て］+ る | Verb［て］+ います | Verb［て］+ ます;Conjunctive Particle;Verb;Standard;ている is a construction used in Japanese to convey that someone or something is existing in a constant state of 'doing' the verb that comes before て. In English, depending on the verb, this can be translated as 'is (A)', 'am (A), or 'are (A)~ing'. The expression is made by adding いる to the て form of either る-Verbs, or う-Verbs.;ている is often shortened to てる. This applies to all tenses, including てる, てて, てた, and even てます;この人（ひと）誰（だれ）か知（し）っている？;Do you know who this is?;ている② | ている③;;Verb + て | Verb［た・ている］+ Noun | ているあいだに | ているところだ | つづける
へ;To, Toward;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%B8;Noun + へ;Particle;Case Marking Particle;Standard;へ is a particle used when describing a place that someone or something is 'moving toward', or 'in contact with'. In many cases, the particles に and へ are interchangeable, but there is a slight difference in meaning. へ focuses more on the distance/effort required to get between (A) and (B), while に focuses more on the connection between (A) and (B). へ always comes after the noun signifying the destination.;;私（わたし）はフランスへ行（い）く。;I will go to France.;;;へいく | に向かって・に向けて
～に行（い）く;To go ~, To go in order to ~;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/verb-%E3%81%AB%E3%81%84%E3%81%8F;Verb［stem］+ に + 行（い）く | Verb［stem］+ に + 行（い）きます;Expression;Verb;Standard;に行（い）く is a grammar construction that is used when someone is going somewhere for the purpose of doing (A). (A) representing the verb that comes before に行（い）く. As with other uses of に, this particle is highlighting an end point or goal of 'going'.;;釣（つ）りに行（い）く。;To go fishing. (Fishing is the purpose/goal of going);;;ていく | へいく
誰（だれ）;Who;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8C;だれ;Noun;Pronoun;Standard;誰（だれ） is a substitute noun that is used in Japanese to describe unknown people. Due to Japanese particles behaving in very specific ways, 誰（だれ） will be translated differently depending on the particle that follows it.;Depending on the style of polite speech, there are several different words that will be used to indicate an unknown person. どなた is used in honorific language, while どちらさま is used in polite speech.;誰（だれ）を連（つ）れて来（き）ますか？;Who will you bring with you?;;;誰か・どこか・誰も・どこも
なぜ;Why;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%9C;なぜ + Question;Adverb;Independent Word;Standard;なぜ is the formal way to ask 'why' in Japanese. It is often seen in writing, formal speeches, or in serious situations when asking for a logical reason or cause for something. As it is direct and formal, it can sound slightly stiff in everyday casual conversation.;;なぜ私（わたし）の家（いえ）に来（き）たんですか？;Why did you come to my house?;;;
どうして;Why;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6;どうして + Question;Adverb;Independent Word;Standard;どうして is a polite and versatile way to ask 'why' in Japanese. It can carry a feeling of wanting to know the process or story behind something, literally coming from どう 'how' and して (the て form of する, 'to do'). It is like asking 'how did it come to be that (A)?', and can sometimes express curiosity or surprise.;;どうして走（はし）っているの？;Why are you running?;;;
なんで;Why;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%93%E3%81%A7;なんで + Question;Adverb;Independent Word;Standard;なんで is a casual way to ask 'why' in Japanese. It is used very frequently in everyday conversation with friends, family, and close acquaintances.;;え、なんで私（わたし）が行（い）くの？;Uh, why am I going?;;;
い-Adjective + です (Predicate);い-Adjective (Predicate);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%84-adjective-predicate;Examples: | かわいい | 新（あたら）しい | 寒（さむ）い | Examples: | かわいい + です | 新（あたら）しい + です | 寒（さむ）い + です;Adjective;Independent Word;Standard;A predicate is a word that describes the topic/subject of a sentence. The Japanese equivalent of this is a 述語（じゅつご）, which literally means 'statement word'. As a predicate, い-Adjectives can appear by themselves (when the word they are describing does not need to be stated), or they may be used at the end of a sentence.;;丸（まる）い。;It's round.;;;い-Adjectives
な-Adjective + だ (Predicate);な-Adjective (Predicate);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA-adjective-predicate;［な］Adjective + (だ) |  | Examples: | 静（しず）か + だ | 元気（げんき） + だ | ［な］Adjective + です |  | Examples: | 静（しず）か + です | 元気（げんき） + です;Noun;Adjectival Noun;Standard;A predicate is a word that describes the topic/subject of a sentence. The Japanese equivalent of this is a 述語（じゅつご）, which literally means 'statement word'. As a predicate, な-Adjectives can appear by themselves (when the word they are describing does not need to be stated), or they may be used at the end of a sentence.;Unlike い-Adjectives, な-Adjectives change form depending on where they are in the sentence. At the end of a sentence, they will always be followed by だ, or です (except in casual conversation where だ is omitted). However, when used before the word they are describing, they will always be followed by な. Hence the name な-Adjectives.;素敵（すてき）。;It's wonderful.;;;な-Adjectives
だった・でした;Was, Were (Past tense);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%A3%E3%81%9F-%E3%81%A7%E3%81%97%E3%81%9F;Noun + だった | ［な］Adjective + だった | Noun + でした | ［な］Adjective + でした;Auxiliary Verb;;Standard;In order to say that something 'was' a certain way in Japanese, you will need to use だった (casual) or でした (polite) attached to the end of a noun or な-Adjective. This is simply a combination of two auxiliary verbs, だ (or です when polite) with た. For だった, we will need to add った to the base form of だ. For です, す will change to し before adding た.;い-Adjectives cannot be used with だった・でした | The past form of い-Adjectives cannot be linked with だった or でした, as they have their own set of conjugation rules.;あの電車（でんしゃ）は静（しず）かだった。;That train was quiet.;;;う-Verb (Past) | だ | です
じゃない;Is not, Isn't;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84;［な］Adjective + では(1) + ない | Noun + では(1) + ない |  | (1)じゃ | ［な］Adjective + では(1) + ありません(2) | Noun + では(1) + ありません(2) |  | (1)じゃ | (2) ないです;Verb;Auxiliary Verb;Standard;じゃない is the casual form of ではない. では is regularly contracted to じゃ in Japanese, so is worth remembering as its own structure. じゃない (casual), or ではない (semi-polite) are the structures used for creating the negative form of nouns and な-Adjectives.;Cannot be used with, い-Adjectives | じゃない is used very frequently to ask questions. This is similar to じゃないか, a grammar point covered in another lesson. However, the nuance difference is that じゃない as a question is a little bit more blunt, like 'isn't it?' in English. On the other hand, じゃないか is more like 'don't you think?'. | When じゃない is used as a question, it will usually be obvious, due to a rising tone.;それは飲（の）み物（もの）ではありません。;That is not a drink.;る-Verb (Negative);だ | です;じゃないか | い-Adjectives くない | じゃなかった
じゃなかった;Was not, Wasn't;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F;［な］Adjective + では(1) + なかった | Noun + では(1) + なかった |  | (1)じゃ | ［な］Adjective + では(1) + ありませんでした(2) | Noun + では(1) + ありませんでした(2) |  | (1)じゃ | (2) なかったです;Verb;Auxiliary Verb;Standard;じゃなかった is the casual form of ではなかった. では itself is regularly contracted to じゃ in Japanese, so is worth remembering as its own structure. じゃなかった (casual), or ではなかった (semi-polite) are the structures used for creating the negative-past form of nouns and な-Adjectives.;;あれは猫（ねこ）ではありませんでした。;That over there was not a cat.;;;じゃない
くなかった;Was not, Wasn't (Adjective);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%84-Adjective-%E3%81%8F%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F;［い］Adjective［く］+ なかった |  | Examples: | おもしろく + なかった | 新（あたら）しく + なかった | ［い］Adjective［く］+ なかった + です | ［い］Adjective［く］+ ありませんでした |  | Examples: | おもしろく + なかった + です | おもしろく + ありませんでした |  | 新（あたら）しく + なかった + です | 新（あたら）しく + ありませんでした;Adjective;Auxiliary Verb;Standard;In order to create the negative past form of い-Adjectives, we will need to use the conjugation form. The conjugation form of an い-Adjective is simply created by removing the い, and replacing it with く. く is then followed by ない (conjugated into its past form なかった), or あります (conjugated into its past negative form ありませんでした).;;私（わたし）は太（ふと）くなかったよ！;I was not fat!;;;
と;Quotation;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A8;(Quotation) Phrase + と + Verb(*) |  | Verb + と + Verb(*) | ［い］Adjective + と + Verb(*) | ［な］Adjective + (だ) + と + Verb(*) | Noun + (だ) + と + Verb(*) |  | (*) Verbs like 言（い）う、聞（き）く、思（おも）う、考（かんが）える、仮定（かてい）する and the like are used;Particle;Case Marking Particle;Standard;One of the regular functions of と in Japanese is as a quotation particle. This use is called 引用（いんよう） in Japanese, which basically translates as 'reference', or 'citation'. This way of using と can appear after almost any type of word (or phrase), but requires だ when used after nouns or な-Adjectives.;;あれは猫（ねこ）だと思（おも）う。;I think that is a cat.;;;といってもいい | って
って;Casual quotation;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A3%E3%81%A6;Quote + って + Verb;Particle;Case Marking Particle;Casual;って is a casual variation of the と particle that is used for quoting something. This use is called 引用（いんよう） in Japanese, which basically translates to 'reference', or 'citation'. って is almost exclusively used after direct quotations, and will be followed by a verb indicating what type of communication was used. 言（い）った, 思（おも）った, 聞（き）いた, for example.;Can replace と | Although often heard, due to って being very casual, it can be considered unnatural to use in sentences that also use the です or ます polite structures. However, if the conversation is formal but friendly (like between a senpai and a kouhai), most people would consider it normal.;「行（い）ってきます」ってママが言（い）った。;Mom said, 'I'll be back soon'.;;;んだって | と | といってもいい
Verb (Non-Past);(Non-past);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/verb-non-past;Examples: | 食（た）べる | 洗（あら）う | Examples: | 食（た）べます | 洗（あら）います;Verb;Dictionary Form;Standard;In Japanese, the non-past form of verbs is identical to the dictionary form/casual form. Unlike English, this form of verbs is able to be used in several cases where conjugation/different constructions would be required in English.;In books, the non-past form will regularly be used for events that are happening 'in the moment', but without any time word being used. In these cases it is usually obvious from context that it is happening then and there.;嫁（よめ）は毎晩（まいばん）映画（えいが）を見（み）ます。;My wife watches movies every night.;;;る-Verb (Dictionary) | る-Verb (Past) | る-Verb (Negative) | う-Verb (Negative) | Verb + て | う-Verb (Dictionary) | う-Verb (Past)
～た + (Noun);Verb modified noun, Relative clause;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/verb-%E3%81%9F-noun;Verb［た］(*) + Noun | Verb［ている］(*) + Noun |  | (*) Only verbs in short (plain) form can modify nouns. Do not use polite-ます.;Expression;Noun;Standard;In Japanese, if you want to describe something or someone that is performing an action, one of the ways you can do this is through a relative clause. A relative clause is when two phrases are joined into one sentence, rather than two individual sentences. The た (plain-past), or ている (continuous) form of verbs are usually used.;The ます (polite) forms of verbs may not be used when making a relative clause.;貴方（あなた）が食（た）べたハンバーガー。;The hamburger that you ate.;;;ている① | う-Verb (Past) | る-Verb (Past) | ている③ | ている②
