grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url
する;To do, To make into;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B
来（く）る;To come;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%8B
る-Verb (Past);る - Verbs (Past tense);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%82%8B-verb-past
う-Verb (Past);う - Verbs (Past tense);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%86-verb-past
好（す）き;Like, Fond of;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8D
嫌（きら）い;Dislike, Not fond of;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%8D%E3%82%89%E3%81%84
のが好（す）き;Like doing, Love doing;N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%99%E3%81%8D
がある + (Noun);Noun (B) that has Noun (A), Noun (B) with Noun (A);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B-noun
くない;Not (Adjective);N5;4;Different Verb Forms that Will Make Use of the Particles Just Taught;https://bunpro.jp/grammar_points/negative-%E3%81%84-adjectives
で;With, By (using);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%A7-by
ので;Because, So, Since, The reason being;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A7
から;Because, Since;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89-because
から;From;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89
けど;But, However;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9
が;But, However;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%8C-but
る-Verb (Negative-Past);る - Verbs (Negative-past tense);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%82%8B-verb-neg-past
う-Verb (Negative-Past);う - Verbs (Negative-past tense);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%86-verb-neg-past
～て (Conjunction);And, Then (Linking events);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/verb-%E3%81%A6
～ている ①;Is, Am, Are (~ing);N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1
へ;To, Toward;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/%E3%81%B8
～に行（い）く;To go ~, To go in order to ~;N5;5;Basic Sentence Linking Structures て;https://bunpro.jp/grammar_points/verb-%E3%81%AB%E3%81%84%E3%81%8F
誰（だれ）;Who;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8C
なぜ;Why;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%9C
どうして;Why;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6
なんで;Why;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%93%E3%81%A7
い-Adjective + です (Predicate);い-Adjective (Predicate);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%84-adjective-predicate
な-Adjective + だ (Predicate);な-Adjective (Predicate);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%AA-adjective-predicate
だった・でした;Was, Were (Past tense);N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%A3%E3%81%9F-%E3%81%A7%E3%81%97%E3%81%9F
じゃない;Is not, Isn't;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84
じゃなかった;Was not, Wasn't;N5;6;Filling in the Knowledge Gaps of the Basics;https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F
